Ticker,discription
1101.TW,台泥
1102.TW,亞泥
1216.TW,統一
1301.TW,台塑
1303.TW,南亞
1326.TW,台化
1402.TW,遠東新
1590.TW,亞德客-KY
2002.TW,中鋼
2207.TW,和泰車
2227.TW,裕日車
2303.TW,聯電
2308.TW,台達電
2317.TW,鴻海
2327.TW,國巨
2330.TW,台積電
2352.TW,佳世達
2357.TW,華碩
2379.TW,瑞昱
2382.TW,廣達
2395.TW,研華
2408.TW,南亞科
2409.TW,友達
2412.TW,中華電
2454.TW,聯發科
2603.TW,長榮
2615.TW,陽海
2801.TW,彰銀
2880.TW,華南金
2881.TW,富邦金
2882.TW,國泰金
2884.TW,玉山金
2885.TW,元大金
2886.TW,兆豐金
2887.TW,台新金
2891.TW,中信金
2892.TW,第一金
2912.TW,統一超
3008.TW,大立光
3034.TW,聯詠
3045.TW,台灣大
3711.TW,日月光投控
4904.TW,遠傳
4938.TW,和碩
5871.TW,中租-KY
5876.TW,上海商銀
5880.TW,合庫金
6415.TW,矽力-KY
6505.TW,台塑化
8046.TW,南電
9910.TW,豐泰